,Year,Place of Info Breach,Method of Breach,Type of Breach,Name of Business,Organization Type,Summary of Events,Individuals Affected
827,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,656
829,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,656
844,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,9600
847,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,9600
849,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,9600
864,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,,653
867,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,,653
869,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,,653
884,2010,Paper,lost / stolen media,Other,Educational Credit Management Corporation,Financial,,2628
887,2010,Paper,hacked,Other,Federal Reserve Bank of Cleveland,Financial,,2628
889,2010,Paper,lost / stolen media,Other,JP Morgan Chase,Financial,,2628
904,2010,Other,lost / stolen media,Loss,Educational Credit Management Corporation,Financial,,5220
907,2010,Other,hacked,Loss,Federal Reserve Bank of Cleveland,Financial,,5220
909,2010,Other,lost / stolen media,Loss,JP Morgan Chase,Financial,,5220
924,2010,Paper,lost / stolen media,Improper Disposal,Educational Credit Management Corporation,Financial,,4083
927,2010,Paper,hacked,Improper Disposal,Federal Reserve Bank of Cleveland,Financial,,4083
929,2010,Paper,lost / stolen media,Improper Disposal,JP Morgan Chase,Financial,,4083
944,2010,Desktop Computer,lost / stolen media,Theft,Educational Credit Management Corporation,Financial,"An employee's laptop was stolen out of her bag while she was making an admission visit in a patient's home.  The evidence showed that although the covered entity had a policy of encrypting and password-protecting its computers, this particular computer did not require a password most of the time.  The invoices contained the protected health information (PHI) of approximately 1,000 individuals.  The PHI stored on the laptop included names, addresses, dates of birth, phone numbers, Social Security numbers, Medicare numbers, electronic health records and commercial insurance information.  Following the breach, the covered entity notified its clients of the incident, placed notice on its website and in The Daily Herald, sanctioned the employee for changing the security settings on the laptop in question, and established stringent computer security guidelines, and retrained its staff in the new requirements, with the intention of preventing a similar event from occurring again.

",1000
947,2010,Desktop Computer,hacked,Theft,Federal Reserve Bank of Cleveland,Financial,"An employee's laptop was stolen out of her bag while she was making an admission visit in a patient's home.  The evidence showed that although the covered entity had a policy of encrypting and password-protecting its computers, this particular computer did not require a password most of the time.  The invoices contained the protected health information (PHI) of approximately 1,000 individuals.  The PHI stored on the laptop included names, addresses, dates of birth, phone numbers, Social Security numbers, Medicare numbers, electronic health records and commercial insurance information.  Following the breach, the covered entity notified its clients of the incident, placed notice on its website and in The Daily Herald, sanctioned the employee for changing the security settings on the laptop in question, and established stringent computer security guidelines, and retrained its staff in the new requirements, with the intention of preventing a similar event from occurring again.

",1000
949,2010,Desktop Computer,lost / stolen media,Theft,JP Morgan Chase,Financial,"An employee's laptop was stolen out of her bag while she was making an admission visit in a patient's home.  The evidence showed that although the covered entity had a policy of encrypting and password-protecting its computers, this particular computer did not require a password most of the time.  The invoices contained the protected health information (PHI) of approximately 1,000 individuals.  The PHI stored on the laptop included names, addresses, dates of birth, phone numbers, Social Security numbers, Medicare numbers, electronic health records and commercial insurance information.  Following the breach, the covered entity notified its clients of the incident, placed notice on its website and in The Daily Herald, sanctioned the employee for changing the security settings on the laptop in question, and established stringent computer security guidelines, and retrained its staff in the new requirements, with the intention of preventing a similar event from occurring again.

",1000
